epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6522.68,0.36289,0.45361,0.31995,0.78998,0,0.99366,0.99349,0.99243,0.95305,0.99339,0.99321,0.99243,0.85771,0.32223,0.39926,0.27527,0.77967,0,0.000915875,0.000915875,0.000915875
29,6755.64,0.35407,0.44085,0.31911,0.79037,0,0.99519,0.99672,0.99302,0.95514,0.99519,0.99672,0.99302,0.84947,0.31564,0.40692,0.26147,0.77941,0,0.0009035,0.0009035,0.0009035
30,6993.22,0.36213,0.43619,0.30592,0.78994,0,0.99635,0.99716,0.99306,0.95384,0.99635,0.99716,0.99306,0.85564,0.3194,0.40739,0.2542,0.77952,0,0.000891125,0.000891125,0.000891125
31,7226.22,0.34999,0.43625,0.30536,0.79004,0,0.98937,0.9912,0.99183,0.95108,0.98937,0.9912,0.9916,0.84697,0.32151,0.41164,0.27148,0.77957,0,0.00087875,0.00087875,0.00087875
32,7460.27,0.35112,0.43749,0.30737,0.78462,0,0.98109,0.98164,0.98981,0.94524,0.98081,0.98136,0.98978,0.85741,0.33085,0.41536,0.2899,0.78006,0,0.000866375,0.000866375,0.000866375
33,7693.49,0.34361,0.42718,0.30914,0.7862,0,0.99654,0.99676,0.993,0.95779,0.99654,0.99676,0.993,0.86189,0.30856,0.39428,0.24647,0.77841,0,0.000854,0.000854,0.000854
34,7930.87,0.34652,0.43893,0.30152,0.78944,0,0.9952,0.99632,0.99267,0.95724,0.99497,0.9961,0.99267,0.84965,0.30659,0.40411,0.25229,0.77969,0,0.000841625,0.000841625,0.000841625
35,8168.93,0.34744,0.43634,0.28945,0.78542,0,0.99404,0.99223,0.99251,0.95388,0.99348,0.99168,0.99249,0.85289,0.31187,0.39449,0.25649,0.77801,0,0.00082925,0.00082925,0.00082925
36,8396.8,0.33327,0.43337,0.30226,0.78765,0,0.99499,0.99594,0.9933,0.95327,0.99499,0.99594,0.9933,0.85404,0.3163,0.40269,0.25129,0.78,0,0.000816875,0.000816875,0.000816875
37,8623.97,0.34716,0.43276,0.29583,0.78953,0,0.99652,0.99687,0.99292,0.96178,0.99624,0.9966,0.99292,0.85456,0.295,0.40286,0.2402,0.77761,0,0.0008045,0.0008045,0.0008045
